LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
34.75,-119.75,DNR,              5.10,              5.42,              6.61,              8.22,              8.72,              8.51,              7.83,              7.42,              6.80,              6.21,              5.84,              5.01,              6.81
35.25,-124.25,DNR,              4.25,              4.75,              5.80,              6.69,              6.79,              6.34,              5.25,              5.47,              5.47,              5.52,              4.93,              4.31,              5.47
35.25,-123.75,DNR,              4.44,              4.91,              5.89,              6.92,              6.97,              6.45,              5.03,              5.26,              5.41,              5.47,              5.12,              4.51,              5.53
35.25,-123.25,DNR,              4.44,              4.91,              5.89,              6.92,              6.97,              6.45,              5.03,              5.26,              5.41,              5.47,              5.12,              4.51,              5.53
35.25,-122.75,DNR,              4.73,              5.04,              6.11,              7.19,              7.09,              6.53,              4.83,              4.98,              5.26,              5.44,              5.28,              4.75,              5.60
35.25,-122.25,DNR,              4.73,              5.04,              6.11,              7.19,              7.09,              6.53,              4.83,              4.98,              5.26,              5.44,              5.28,              4.75,              5.60
35.25,-121.75,DNR,              4.96,              5.23,              6.33,              7.48,              7.49,              6.84,              5.25,              5.37,              5.60,              5.68,              5.48,              4.93,              5.89
35.25,-121.25,DNR,              4.96,              5.23,              6.33,              7.48,              7.49,              6.84,              5.25,              5.37,              5.60,              5.68,              5.48,              4.93,              5.89
35.25,-120.75,DNR,              4.80,              5.12,              6.35,              7.54,              8.64,              8.63,              7.62,              7.04,              6.52,              6.08,              5.38,              4.65,              6.54
35.25,-120.25,DNR,              4.80,              5.12,              6.35,              7.54,              8.64,              8.63,              7.62,              7.04,              6.52,              6.08,              5.38,              4.65,              6.54
35.25,-119.75,DNR,              4.41,              5.29,              6.82,              7.97,              9.26,              9.24,              8.51,              7.74,              7.16,              6.55,              5.51,              4.44,              6.92
35.75,-124.25,DNR,              4.25,              4.75,              5.80,              6.69,              6.79,              6.34,              5.25,              5.47,              5.47,              5.52,              4.93,              4.31,              5.47
35.75,-123.75,DNR,              4.44,              4.91,              5.89,              6.92,              6.97,              6.45,              5.03,              5.26,              5.41,              5.47,              5.12,              4.51,              5.53
35.75,-123.25,DNR,              4.44,              4.91,              5.89,              6.92,              6.97,              6.45,              5.03,              5.26,              5.41,              5.47,              5.12,              4.51,              5.53
35.75,-122.75,DNR,              4.73,              5.04,              6.11,              7.19,              7.09,              6.53,              4.83,              4.98,              5.26,              5.44,              5.28,              4.75,              5.60
35.75,-122.25,DNR,              4.73,              5.04,              6.11,              7.19,              7.09,              6.53,              4.83,              4.98,              5.26,              5.44,              5.28,              4.75,              5.60
35.75,-121.75,DNR,              4.96,              5.23,              6.33,              7.48,              7.49,              6.84,              5.25,              5.37,              5.60,              5.68,              5.48,              4.93,              5.89
35.75,-121.25,DNR,              4.96,              5.23,              6.33,              7.48,              7.49,              6.84,              5.25,              5.37,              5.60,              5.68,              5.48,              4.93,              5.89
35.75,-120.75,DNR,              4.80,              5.12,              6.35,              7.54,              8.64,              8.63,              7.62,              7.04,              6.52,              6.08,              5.38,              4.65,              6.54
35.75,-120.25,DNR,              4.80,              5.12,              6.35,              7.54,              8.64,              8.63,              7.62,              7.04,              6.52,              6.08,              5.38,              4.65,              6.54
35.75,-119.75,DNR,              4.41,              5.29,              6.82,              7.97,              9.26,              9.24,              8.51,              7.74,              7.16,              6.55,              5.51,              4.44,              6.92
36.25,-124.25,DNR,              4.03,              4.71,              5.77,              6.67,              6.95,              6.76,              5.72,              5.72,              5.69,              5.57,              4.82,              4.08,              5.54
36.25,-123.75,DNR,              4.25,              4.74,              5.87,              6.84,              7.18,              6.78,              5.38,              5.37,              5.50,              5.51,              4.98,              4.36,              5.56
36.25,-123.25,DNR,              4.25,              4.74,              5.87,              6.84,              7.18,              6.78,              5.38,              5.37,              5.50,              5.51,              4.98,              4.36,              5.56
36.25,-122.75,DNR,              4.48,              4.87,              6.08,              7.08,              7.20,              6.72,              5.14,              5.03,              5.41,              5.43,              5.02,              4.60,              5.59
36.25,-122.25,DNR,              4.48,              4.87,              6.08,              7.08,              7.20,              6.72,              5.14,              5.03,              5.41,              5.43,              5.02,              4.60,              5.59
36.25,-121.75,DNR,              4.51,              4.71,              5.77,              6.67,              7.59,              7.48,              6.31,              6.03,              6.08,              5.67,              4.92,              4.29,              5.84
36.25,-121.25,DNR,              4.51,              4.71,              5.77,              6.67,              7.59,              7.48,              6.31,              6.03,              6.08,              5.67,              4.92,              4.29,              5.84
36.25,-120.75,DNR,              4.55,              5.15,              6.55,              7.69,              9.25,              9.68,              9.10,              8.33,              7.66,              6.74,              5.41,              4.29,              7.04
36.25,-120.25,DNR,              4.55,              5.15,              6.55,              7.69,              9.25,              9.68,              9.10,              8.33,              7.66,              6.74,              5.41,              4.29,              7.04
36.25,-119.75,DNR,              4.00,              5.38,              6.83,              8.03,              9.16,             10.10,              9.75,              9.22,              8.19,              7.06,              5.24,              4.12,              7.27
36.75,-124.25,DNR,              4.03,              4.71,              5.77,              6.67,              6.95,              6.76,              5.72,              5.72,              5.69,              5.57,              4.82,              4.08,              5.54
36.75,-123.75,DNR,              4.25,              4.74,              5.87,              6.84,              7.18,              6.78,              5.38,              5.37,              5.50,              5.51,              4.98,              4.36,              5.56
36.75,-123.25,DNR,              4.25,              4.74,              5.87,              6.84,              7.18,              6.78,              5.38,              5.37,              5.50,              5.51,              4.98,              4.36,              5.56
36.75,-122.75,DNR,              4.48,              4.87,              6.08,              7.08,              7.20,              6.72,              5.14,              5.03,              5.41,              5.43,              5.02,              4.60,              5.59
36.75,-122.25,DNR,              4.48,              4.87,              6.08,              7.08,              7.20,              6.72,              5.14,              5.03,              5.41,              5.43,              5.02,              4.60,              5.59
36.75,-121.75,DNR,              4.51,              4.71,              5.77,              6.67,              7.59,              7.48,              6.31,              6.03,              6.08,              5.67,              4.92,              4.29,              5.84
36.75,-121.25,DNR,              4.51,              4.71,              5.77,              6.67,              7.59,              7.48,              6.31,              6.03,              6.08,              5.67,              4.92,              4.29,              5.84
36.75,-120.75,DNR,              4.55,              5.15,              6.55,              7.69,              9.25,              9.68,              9.10,              8.33,              7.66,              6.74,              5.41,              4.29,              7.04
36.75,-120.25,DNR,              4.55,              5.15,              6.55,              7.69,              9.25,              9.68,              9.10,              8.33,              7.66,              6.74,              5.41,              4.29,              7.04
36.75,-119.75,DNR,              4.00,              5.38,              6.83,              8.03,              9.16,             10.10,              9.75,              9.22,              8.19,              7.06,              5.24,              4.12,              7.27
37.25,-124.25,DNR,              3.83,              4.57,              5.73,              6.63,              7.10,              7.08,              6.18,              5.88,              5.85,              5.51,              4.70,              3.80,              5.57
37.25,-123.75,DNR,              4.03,              4.68,              5.90,              6.91,              7.51,              7.20,              5.82,              5.40,              5.58,              5.46,              4.83,              4.11,              5.62
37.25,-123.25,DNR,              4.03,              4.68,              5.90,              6.91,              7.51,              7.20,              5.82,              5.40,              5.58,              5.46,              4.83,              4.11,              5.62
37.25,-122.75,DNR,              3.99,              4.46,              5.73,              6.71,              7.26,              7.18,              5.81,              5.40,              5.63,              5.29,              4.54,              3.98,              5.50
37.25,-122.25,DNR,              3.99,              4.46,              5.73,              6.71,              7.26,              7.18,              5.81,              5.40,              5.63,              5.29,              4.54,              3.98,              5.50
37.25,-121.75,DNR,              4.12,              4.96,              6.17,              7.68,              8.48,              9.14,              8.50,              7.92,              7.25,              6.41,              4.93,              3.87,              6.63
37.25,-121.25,DNR,              4.12,              4.96,              6.17,              7.68,              8.48,              9.14,              8.50,              7.92,              7.25,              6.41,              4.93,              3.87,              6.63
37.25,-120.75,DNR,              4.03,              5.22,              6.67,              7.82,              8.79,              9.81,              9.89,              9.15,              8.19,              7.09,              5.13,              4.04,              7.16
37.25,-120.25,DNR,              4.03,              5.22,              6.67,              7.82,              8.79,              9.81,              9.89,              9.15,              8.19,              7.09,              5.13,              4.04,              7.16
37.25,-119.75,DNR,              4.42,              5.33,              6.49,              7.38,              8.44,              9.81,             10.00,              9.48,              8.32,              7.18,              5.13,              4.44,              7.22
